text,label,notes
"Mentorship Monday - Post All Career, Education and Job questions here!. This is the weekly thread for career and education questions and advice. There are no stupid questions; so, what do *you* want to know about certs/degrees, job requirements, and any other general cybersecurity career questions? Ask away!

Interested in what other people are asking, or think your que",discussion,auto-labeled
"Canary tokens. I’m a fan of canarytokens.org and wanted to ask this community if there is a market for a paid managed service focusing on AWS IAM keys which are highly coveted by threat actors. 

The service would generate zero permission AWS IAM access keys for customers to place on their systems.  Ideally inside",discussion,auto-labeled
"Evaluation of non-legitimate Scheduled Tasks path and documentation. Hello everyone,  
happy new year!  
How would you assess the legitimacy of the name associated with the Scheduled Task path?  
How do you justify it? Is there any Microsoft documentation listing them?  
If not, what would you do in my place?  
I need official documentation for this.  
Here's just on",discussion,auto-labeled
"Physical Penetration Testing. Hi all,

I have an opportunity to get into physical penetration testing, which made me realize, I have never thought of it as an actual career! I’ve done research and it seems very interesting, but a very very niche field. I wanted to ask here to see if there are others who have pursued/worked in th",discussion,auto-labeled
Cyber security YouTubers out there I need some advice,discussion,auto-labeled
Roles/employers crossing cybersecurity with politics/global affairs,discussion,auto-labeled
"Penetration testing?. Hey guys, I’m about to push a bunch of apps I’ve developed into corporate production but would love to pen test them, a company is quoting me an extortionate amount to do this.

I know there’s a bunch of tools and services out there, any recommendations would be appreciated.

Happy to click referral",discussion,auto-labeled
I'd like to become a soc analyst in the future but I'm currently torn between becoming a sys admin or network admin. What pathway would better equip me for a soc analyst role? I currently working in a help desk and I'm looking to upskill.. What background do you think is best?,discussion,auto-labeled
"Physical pen testers, what did you do before?. I'm not just curious about how you became a physical pen tester, but what career path you took before that?
Cyber security and then physical pen testing? Or something like Military or Police?",discussion,auto-labeled
Path after working for an year as an Internal IT Auditor,discussion,auto-labeled
"Possibly the most sophisticated exploit ever. The attack chain used alone makes this a must read.

https://arstechnica.com/security/2023/12/exploit-used-in-mass-iphone-infection-campaign-targeted-secret-hardware-feature/",news,auto-labeled
"What cybersecurity job is fun, also might grow in demand and be safe from ai?",discussion,auto-labeled
Security focused VPN for online gaming?,discussion,auto-labeled
"What do u think about the OSEE certification ?. I don’t see people talking about the OSEE on here, is it that hard to get, is it exclusive or can anybody who have the needed skills take it?",discussion,auto-labeled
Rootkit viruses. How common are rootkit viruses that stay in your system even after a full format?,discussion,auto-labeled
how do i get into cybersecurity more?,discussion,auto-labeled
I want to do cool stuff; please guide me,discussion,auto-labeled
"SANS Online Masters?. I am a senior software engineer at a tech company.  I make close to 300k.
Thing is I want to feel like a bad ass. I want to make malware and hack into foreign agencies and so on. I've just started an online ml masters. Software engineering has an unsure future with llms now being able to write good ",discussion,auto-labeled
"Free FIDO2 security key giveaway. Just found the below post on LinkedIn, if anyone is interested in a free FIDO2 security key! Personally I always use YubiKeys nowadays, especially for highly privileged accounts. 

https://www.linkedin.com/posts/paulvanberlo_cybersecurity-fido2-giveaway-activity-7147360846287949824-FYec",news,auto-labeled
Old Hotmail account connected Deactivated Facebook both compromised,news,auto-labeled
Advise in Cybersecurity Specialization,discussion,auto-labeled
Mysterious hacker strikes Iran with major cyberattacks against industry leading companies,news,auto-labeled
So I might be a little Stupid.,discussion,auto-labeled
Cybersecurity jobs in Middle East?,discussion,auto-labeled
"Seeking Advice: Transitioning from Med School to Cybersecurity, Need Guidance on Career Path",discussion,auto-labeled
12 Cybersecurity Resolutions for 2024,news,auto-labeled
